Region,Unnamed: 1,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,,155.3,"$473,800",2.78%,155.5,"$578,200",2.98%,160.5,"$453,400",3.41%,151.7,"$332,300",3.48%,149.5,"$300,200",1.36%
Halton Region,,163.8,"$537,300",3.93%,162.3,"$601,900",4.44%,163.7,"$424,900",3.67%,157.3,"$311,400",-1.44%,-,-,-
Burlington,,171.6,"$494,600",3.37%,171.7,"$586,800",4.44%,165.8,"$395,200",3.37%,166.5,"$334,400",-0.12%,-,-,-
Halton Hills,,153.3,"$446,400",1.73%,153.2,"$490,100",2.20%,160.0,"$394,100",2.63%,151.8,"$273,700",-2.75%,-,-,-
Milton,,155.1,"$435,000",2.44%,147.0,"$512,100",1.66%,157.9,"$394,200",2.67%,-,-,-,-,-,-
Oakville,,171.8,"$633,800",5.46%,171.4,"$710,400",6.33%,173.0,"$468,300",5.42%,156.4,"$345,500",-1.70%,-,-,-
Peel Region,,150.4,"$411,400",3.58%,151.2,"$511,800",3.00%,152.6,"$389,400",3.74%,155.6,"$322,000",5.35%,138.1,"$237,700",3.06%
Brampton,,143.9,"$367,100",3.67%,144.8,"$423,200",3.06%,145.6,"$343,000",3.63%,140.5,"$261,000",6.93%,122.9,"$192,300",4.86%
Caledon,,144.2,"$513,800",2.20%,144.8,"$531,500",1.54%,155.6,"$384,700",5.63%,-,-,-,-,-,-
Mississauga,,155.8,"$435,500",3.73%,160.0,"$596,200",3.29%,160.3,"$438,100",4.02%,160.3,"$344,200",5.05%,140.7,"$246,400",3.00%
City of Toronto,,159.2,"$521,700",1.66%,161.9,"$701,900",1.57%,169.6,"$562,400",2.48%,154.4,"$373,400",1.78%,152.6,"$315,100",1.13%
York Region,,162.7,"$558,300",2.91%,164.2,"$645,100",3.27%,165.8,"$480,300",3.43%,151.8,"$386,900",3.13%,147.7,"$320,900",0.07%
Aurora,,154.9,"$498,800",5.45%,153.6,"$570,600",5.86%,158.1,"$409,200",4.84%,143.1,"$362,500",6.08%,143.0,"$297,100",3.17%
E. Gwillimbury,,145.5,"$470,400",8.74%,146.7,"$481,900",9.72%,151.1,"$319,900",6.63%,-,-,-,-,-,-
Georgina,,150.6,"$312,600",5.98%,154.5,"$318,300",5.68%,152.6,"$300,700",8.84%,-,-,-,-,-,-
King,,152.9,"$648,200",2.14%,154.1,"$650,200",2.39%,-,-,-,-,-,-,-,-,-
Markham,,166.5,"$573,600",1.71%,170.4,"$700,800",2.22%,168.5,"$501,800",2.37%,154.3,"$383,300",3.70%,151.7,"$350,800",-2.44%
Newmarket,,147.7,"$435,600",4.16%,145.1,"$488,500",3.50%,153.4,"$361,500",4.85%,160.1,"$323,300",6.10%,146.5,"$246,700",-0.20%
Richmond Hill,,171.3,"$620,200",2.88%,180.5,"$764,700",3.80%,177.3,"$537,100",4.11%,144.3,"$408,000",0.35%,144.9,"$301,800",-1.50%
Vaughan,,161.7,"$584,500",3.06%,159.0,"$661,700",2.71%,165.4,"$503,500",4.35%,153.1,"$418,300",0.72%,145.9,"$323,800",4.74%
Whitchurch-Stouffville,,160.7,"$605,900",4.90%,160.6,"$616,300",5.59%,145.3,"$399,100",1.47%,-,-,-,-,-,-
Durham Region,,136.5,"$321,200",5.73%,136.2,"$355,100",5.83%,141.1,"$282,600",6.41%,127.3,"$209,200",6.00%,126.4,"$226,100",2.51%
Ajax,,142.3,"$351,700",6.75%,143.9,"$385,400",6.75%,148.9,"$320,200",6.81%,129.7,"$237,000",9.27%,122.7,"$208,300",1.40%
Brock,,124.7,"$236,400",3.74%,125.1,"$237,700",3.65%,129.6,"$206,500",1.33%,-,-,-,-,-,-
Clarington,,131.9,"$279,100",4.85%,129.5,"$311,200",5.89%,134.7,"$257,200",4.18%,145.3,"$260,100",0.97%,124.5,"$176,200",-0.32%
Oshawa,,132.3,"$253,200",7.47%,131.4,"$279,800",7.79%,136.8,"$229,100",7.38%,113.4,"$151,700",2.90%,129.9,"$155,500",-2.18%
Pickering,,140.8,"$380,900",4.07%,141.8,"$443,600",1.43%,145.3,"$338,700",4.46%,136.0,"$245,300",8.11%,128.0,"$250,600",7.11%
Scugog,,140.2,"$363,800",13.89%,144.1,"$371,100",13.82%,121.1,"$253,400",2.37%,-,-,-,-,-,-
Uxbridge,,132.0,"$403,600",4.68%,132.9,"$411,600",4.15%,129.3,"$317,300",4.87%,-,-,-,-,-,-
Whitby,,137.2,"$358,000",4.02%,137.3,"$394,400",5.21%,140.4,"$309,700",7.59%,130.4,"$239,100",7.15%,127.9,"$249,500",-0.31%
Dufferin County,,144.0,"$330,000",2.49%,147.7,"$336,600",1.72%,145.3,"$272,300",1.54%,-,-,-,-,-,-
Orangeville,,144.0,"$330,000",2.49%,147.7,"$336,600",1.72%,145.3,"$272,300",1.54%,-,-,-,-,-,-
Simcoe County,,140.8,"$299,200",4.30%,137.6,"$303,500",3.69%,145.7,"$279,800",5.89%,-,-,-,-,-,-
Adjala-Tosorontio,,127.0,"$400,000",-1.55%,127.0,"$400,500",-1.24%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,,152.7,"$379,500",6.34%,138.1,"$423,000",6.31%,158.1,"$328,700",7.48%,-,-,-,-,-,-
Essa,,140.2,"$317,900",4.08%,137.1,"$339,100",2.62%,143.5,"$244,500",5.28%,-,-,-,-,-,-
Innisfil,,140.7,"$260,700",2.78%,141.8,"$263,200",3.13%,142.3,"$221,400",2.67%,-,-,-,-,-,-
New Tecumseth,,130.5,"$301,400",4.90%,127.6,"$328,700",3.99%,135.9,"$260,000",5.76%,-,-,-,-,-,-
