Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,173.3,"$528,900 ",7.84%,176.0,"$654,900 ",8.84%,181.6,"$513,500 ",8.87%,168.2,"$367,900 ",6.66%,157.1,"$315,800 ",4.04%
Halton Region,182.9,"$599,100 ",8.67%,180.4,"$669,400 ",8.22%,183.8,"$477,000 ",9.60%,171.7,"$338,500 ",3.56%,-,-,-
Burlington,183.9,"$552,000 ",7.61%,181.6,"$639,700 ",4.91%,185.3,"$441,700 ",11.83%,176.1,"$349,100 ",2.92%,-,-,-
Halton Hills,166.6,"$485,100 ",7.35%,164.9,"$527,600 ",6.25%,177.4,"$436,900 ",8.57%,161.9,"$291,900 ",2.53%,-,-,-
Milton,174.4,"$481,600 ",9.55%,164.6,"$570,700 ",10.10%,177.8,"$443,900 ",9.82%,-,-,-,-,-,-
Oakville,192.1,"$708,400 ",8.23%,191.1,"$792,000 ",7.91%,193.4,"$523,600 ",8.90%,174.6,"$385,600 ",3.62%,-,-,-
Peel Region,165.3,"$452,500 ",7.48%,166.4,"$564,000 ",7.35%,169.6,"$432,700 ",8.65%,170.5,"$352,800 ",7.17%,145.7,"$251,100 ",4.59%
Brampton,159.9,"$408,100 ",8.92%,159.3,"$465,900 ",8.15%,162,"$381,600 ",9.31%,156.6,"$290,800 ",7.48%,135.6,"$212,200 ",8.39%
Caledon,150.3,"$536,400 ",2.87%,151.1,"$555,900 ",2.93%,165.3,"$408,700 ",3.96%,-,-,-,-,-,-
Mississauga,170.9,"$478,200 ",6.95%,177.8,"$663,800 ",7.24%,178.8,"$488,400 ",8.43%,175,"$375,800 ",7.16%,147.6,"$258,900 ",4.09%
City of Toronto,174.5,"$572,200 ",5.95%,183.2,"$794,300 ",7.64%,189.5,"$629,600 ",6.52%,171.7,"$415,000 ",5.73%,159.6,"$329,800 ",3.77%
York Region,188.9,"$648,200 ",11.25%,190.5,"$748,900 ",11.99%,194.3,"$563,000 ",11.92%,170.3,"$432,700 ",8.82%,154.9,"$336,000 ",2.45%
Aurora,177.1,"$570,100 ",9.32%,177.4,"$659,100 ",9.78%,182.5,"$471,900 ",9.87%,144,"$364,700 ",5.03%,152.9,"$316,200 ",5.01%
E. Gwillimbury,159.3,"$516,400 ",4.66%,159.1,"$524,300 ",4.19%,171.8,"$363,700 ",7.24%,-,-,-,-,-,-
Georgina,159.9,"$331,900 ",8.26%,167.7,"$345,500 ",9.18%,172.9,"$340,700 ",10.20%,-,-,-,-,-,-
King,174.2,"$738,500 ",8.81%,175.5,"$740,500 ",8.47%,-,-,-,-,-,-,-,-,-
Markham,197.2,"$678,700 ",12.17%,203.0,"$834,500 ",12.84%,202.2,"$602,200 ",13.40%,175.1,"$435,000 ",7.75%,157.4,"$362,900 ",0.96%
Newmarket,172.0,"$507,200 ",10.68%,170.1,"$572,600 ",11.18%,178.3,"$420,500 ",10.75%,172.3,"$347,900 ",11.52%,154.4,"$260,000 ",4.04%
Richmond Hill,198.8,"$720,900 ",11.87%,210.9,"$896,500 ",13.27%,203.8,"$618,000 ",11.43%,166.1,"$464,900 ",10.37%,150.7,"$313,900 ",0.94%
Vaughan,185.3,"$669,800 ",10.63%,179.1,"$745,500 ",11.73%,191.9,"$583,900 ",11.05%,177.3,"$484,400 ",9.11%,156.1,"$346,400 ",5.62%
Whitchurch-Stouffville,191.2,"$720,900 ",13.27%,190.0,"$729,100 ",12.43%,172.7,"$474,400 ",13.99%,-,-,-,-,-,-
Durham Region,158.2,"$372,200 ",10.63%,157.0,"$409,200 ",10.10%,165.2,"$331,000 ",11.55%,144.6,"$237,100 ",7.59%,152.1,"$273,400 ",15.05%
Ajax,165.9,"$410,000 ",10.90%,166.5,"$445,900 ",11.15%,173.4,"$372,900 ",11.23%,144.3,"$263,700 ",6.49%,146.7,"$249,100 ",12.59%
Brock,130.2,"$246,000 ",5.08%,131.0,"$248,100 ",5.22%,0,$0 ,0.00%,-,-,-,-,-,-
Clarington,155.0,"$328,000 ",10.87%,147.7,"$355,000 ",9.33%,160.5,"$306,500 ",12.16%,168.4,"$301,400 ",5.32%,151,"$213,700 ",14.65%
Oshawa,152.0,"$291,100 ",9.51%,150.6,"$320,800 ",8.82%,158.7,"$265,900 ",10.13%,134.8,"$180,400 ",10.95%,148.2,"$200,000 ",12.79%
Pickering,164.4,"$444,500 ",10.26%,166.1,"$519,000 ",9.35%,171.2,"$399,000 ",11.90%,148.2,"$266,000 ",5.18%,158.7,"$310,700 ",17.04%
Scugog,153.1,"$397,300 ",9.75%,157.2,"$404,800 ",9.47%,140.1,"$293,200 ",6.70%,-,-,-,-,-,-
Uxbridge,147.6,"$451,300 ",8.61%,148.1,"$458,700 ",8.10%,139.6,"$342,600 ",5.60%,-,-,-,-,-,-
Whitby,160.2,"$418,000 ",12.42%,161.3,"$463,400 ",12.33%,165.3,"$364,200 ",13.14%,149.4,"$273,900 ",7.87%,148,"$288,700 ",15.00%
Dufferin County,155.9,"$357,300 ",4.98%,162.4,"$370,100 ",6.28%,153.4,"$287,500 ",4.14%,-,-,-,-,-,-
Orangeville,155.9,"$357,300 ",4.98%,162.4,"$370,100 ",6.28%,153.4,"$287,500 ",4.14%,-,-,-,-,-,-
Simcoe County,150.6,"$321,100 ",4.87%,145.0,"$321,300 ",3.79%,159.6,"$306,300 ",7.04%,-,-,-,-,-,-
Adjala-Tosorontio,128.7,"$456,700 ",3.12%,128.7,"$456,700 ",3.12%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,170.7,"$424,300 ",8.52%,153.7,"$470,800 ",8.01%,174.3,"$362,400 ",7.93%,-,-,-,-,-,-
Essa,150.0,"$351,400 ",5.86%,146.3,"$369,900 ",4.95%,151.6,"$258,300 ",6.84%,-,-,-,-,-,-
Innisfil,144.3,"$266,900 ",1.33%,144.3,"$267,400 ",0.91%,158.9,"$247,200 ",3.32%,-,-,-,-,-,-
New Tecumseth,141.1,"$325,900 ",6.17%,137.0,"$352,900 ",5.22%,148.2,"$282,900 ",7.63%,-,-,-,-,-,-
