Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,337.7,"1,025,200",17.83%,340.9,"1,259,500",24.51%,352.0,"988,900",22.99%,345.7,"759,500",17.55%,313.1,"627,600",4.26%
Halton Region,364.5,"1,182,200",24.45%,372.2,"1,372,800",27.73%,385.2,"985,500",28.14%,388.2,"746,500",22.23%,306.8,"625,000",14.99%
Burlington,376.4,"1,043,900",22.69%,389.0,"1,316,900",27.50%,410.5,"984,800",25.92%,400.4,"750,800",22.15%,314.0,"618,700",14.02%
Halton Hills,351.2,"1,044,900",28.98%,351.1,"1,142,500",29.56%,371.9,"842,700",30.86%,347.9,"594,800",25.01%,286.9,"621,100",14.67%
Milton,347.6,"1,029,900",25.94%,348.7,"1,246,800",28.86%,369.0,"891,800",29.25%,363.2,"625,100",24.21%,320.2,"612,900",13.51%
Oakville,364.9,"1,340,500",24.20%,376.9,"1,593,200",26.65%,393.8,"1,099,600",27.57%,382.0,"860,500",23.62%,289.3,"592,500",14.57%
Peel Region,337.0,"955,800",17.83%,333.7,"1,181,800",22.01%,346.4,"885,200",22.32%,335.7,"709,100",15.96%,328.0,"562,400",5.94%
Brampton,344.2,"877,400",21.37%,335.6,"989,100",22.44%,351.7,"821,400",23.23%,344.1,"618,500",18.13%,319.8,"477,400",9.11%
Caledon,312.8,"1,148,700",32.54%,316.2,"1,202,000",33.70%,348.2,"860,200",28.68%,-,-,-,266.9,"648,900",6.25%
Mississauga,332.6,"982,400",13.71%,334.9,"1,337,600",19.56%,336.5,"928,000",19.79%,332.2,"734,200",15.03%,329.5,"578,800",5.44%
City of Toronto,325.7,"1,056,100",9.11%,329.7,"1,446,700",18.47%,346.3,"1,154,300",17.15%,327.6,"780,600",11.28%,316.4,"651,700",2.49%
York Region,330.7,"1,118,000",20.91%,340.7,"1,297,400",24.43%,341.5,"986,900",22.67%,305.5,"792,900",19.52%,276.4,"616,600",7.67%
Aurora,329.2,"1,086,400",22.15%,330.8,"1,242,900",23.90%,344.9,"889,400",23.58%,322.3,"882,000",24.30%,265.5,"608,800",8.50%
East Gwillimbury,325.7,"1,112,800",38.77%,328.5,"1,170,800",38.20%,347.7,"727,300",38.64%,-,-,-,-,-,-
Georgina,353.1,"672,100",40.68%,360.7,"679,400",40.40%,347.9,"685,800",37.95%,-,-,-,-,-,-
King,304.0,"1,271,900",32.75%,306.2,"1,273,800",34.12%,301.5,"706,100",27.81%,-,-,-,273.7,"748,600",8.05%
Markham,335.6,"1,166,300",18.04%,360.4,"1,486,600",21.06%,349.0,"1,040,800",21.65%,296.8,"792,500",20.21%,277.9,"664,600",6.72%
Newmarket,311.3,"918,100",24.72%,314.8,"1,061,000",26.17%,317.0,"746,600",27.16%,300.3,"623,500",25.91%,290.7,"518,200",6.76%
Richmond Hill,341.1,"1,227,500",19.10%,367.8,"1,563,100",21.15%,350.4,"1,065,000",24.26%,285.7,"724,300",16.33%,281.8,"590,200",9.65%
Vaughan,319.3,"1,154,600",16.79%,313.3,"1,302,300",19.08%,333.8,"1,011,100",19.17%,330.8,"934,500",13.09%,270.5,"624,200",7.43%
Whitchurch-Stouffville,351.1,"1,223,700",25.08%,355.0,"1,309,500",27.38%,355.7,"887,500",23.76%,294.8,"529,200",24.07%,262.3,"677,000",8.52%
Durham Region,351.9,"820,700",33.45%,341.7,"887,400",33.74%,366.3,"731,500",34.72%,398.4,"619,800",34.87%,327.9,"556,400",21.71%
Ajax,346.2,"853,100",28.60%,342.9,"919,900",29.30%,358.8,"774,300",30.66%,361.4,"664,200",27.79%,313.0,"507,400",20.76%
Brock,316.5,"548,100",39.86%,318.6,"552,000",39.98%,378.7,"649,100",54.45%,-,-,-,-,-,-
Clarington,353.1,"745,500",39.18%,340.3,"819,600",38.90%,352.9,"674,200",41.61%,409.1,"640,900",35.51%,304.4,"450,700",24.60%
