Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,156.1,"$476,200 ",4.00%,156.4,"$581,600 ",4.48%,161.4,"$456,000 ",4.40%,152.6,"$334,200 ",4.23%,149.5,"$300,200 ",2.33%,2013,09
Halton Region,164.9,"$540,900 ",5.23%,162.3,"$601,900 ",4.71%,165.6,"$429,800 ",5.48%,157.1,"$311,000 ",3.63%,-,-,-,2013,09
Burlington,172.1,"$496,000 ",4.62%,170.8,"$583,800 ",4.21%,167.6,"$399,500 ",3.97%,166.2,"$333,800 ",4.40%,-,-,-,2013,09
Halton Hills,153.7,"$447,500 ",3.36%,154.0,"$492,700 ",3.36%,161.9,"$398,700 ",5.06%,150.1,"$270,600 ",1.76%,-,-,-,2013,09
Milton,157.9,"$442,900 ",5.62%,147.6,"$514,200 ",3.94%,160.4,"$400,500 ",5.53%,-,-,-,-,-,-,2013,09
Oakville,171.7,"$633,400 ",5.47%,170.5,"$706,600 ",5.31%,173.8,"$470,400 ",5.85%,157.2,"$347,300 ",4.17%,-,-,-,2013,09
Peel Region,150.9,"$412,800 ",3.64%,151.9,"$514,200 ",3.26%,152.9,"$390,200 ",3.17%,155.2,"$321,200 ",4.16%,138.4,"$238,200 ",3.67%,2013,09
Brampton,144.2,"$367,800 ",2.78%,144.9,"$423,500 ",1.97%,145.8,"$343,400 ",2.39%,137.5,"$255,400 ",2.77%,123.9,"$193,900 ",6.90%,2013,09
Caledon,144.3,"$514,100 ",3.07%,144.7,"$531,100 ",2.62%,156.2,"$386,200 ",4.41%,-,-,-,-,-,-,2013,09
Mississauga,156.6,"$437,700 ",4.33%,161.5,"$601,700 ",4.94%,160.7,"$439,200 ",3.95%,160.6,"$344,900 ",4.56%,140.9,"$246,700 ",3.37%,2013,09
City of Toronto,159.3,"$522,100 ",3.44%,162.4,"$704,000 ",4.44%,170,"$563,800 ",4.23%,156.3,"$378,000 ",4.27%,152.1,"$314,100 ",1.88%,2013,09
York Region,164.6,"$564,800 ",4.71%,165.5,"$650,200 ",4.95%,167.6,"$485,500 ",4.75%,152.7,"$389,200 ",3.25%,149.2,"$324,100 ",2.47%,2013,09
Aurora,158.5,"$510,400 ",4.90%,157.6,"$585,500 ",5.56%,161.6,"$418,300 ",4.60%,143,"$362,200 ",2.44%,147.1,"$305,600 ",3.01%,2013,09
E. Gwillimbury,147.1,"$475,600 ",5.52%,147.4,"$484,200 ",5.97%,156.5,"$331,300 ",5.81%,-,-,-,-,-,-,2013,09
Georgina,148.5,"$308,200 ",4.50%,153.9,"$317,000 ",5.56%,157.2,"$309,800 ",10.78%,-,-,-,-,-,-,2013,09
King,155.1,"$657,500 ",3.26%,156.4,"$659,900 ",3.58%,-,-,-,-,-,-,-,-,-,2013,09
Markham,167.5,"$577,000 ",3.20%,170.7,"$702,000 ",3.64%,169.5,"$504,800 ",3.61%,153.8,"$382,100 ",2.81%,153.8,"$355,700 ",0.79%,2013,09
Newmarket,150.8,"$444,700 ",6.20%,148.0,"$498,200 ",6.47%,155.6,"$366,700 ",5.42%,159.3,"$321,600 ",3.64%,148.2,"$249,600 ",0.75%,2013,09
Richmond Hill,173.9,"$629,600 ",5.78%,182.6,"$773,600 ",6.16%,178.8,"$541,600 ",7.00%,146.5,"$414,200 ",4.57%,147.5,"$307,200 ",1.10%,2013,09
Vaughan,164.2,"$593,500 ",5.39%,159.9,"$665,400 ",4.65%,168.7,"$513,600 ",5.64%,159.2,"$435,000 ",2.98%,145.7,"$323,300 ",5.89%,2013,09
Whitchurch-Stouffville,158.8,"$598,700 ",2.98%,159.9,"$613,600 ",4.03%,141.3,"$388,100 ",-0.70%,-,-,-,-,-,-,2013,09
Durham Region,138.6,"$326,100 ",5.96%,137.9,"$359,600 ",5.59%,142.6,"$285,600 ",6.58%,129.6,"$213,000 ",5.28%,136.9,"$244,900 ",10.31%,2013,09
Ajax,145.4,"$359,300 ",6.44%,144.5,"$387,000 ",4.48%,151.3,"$325,400 ",6.10%,134.2,"$245,300 ",9.28%,134.3,"$228,000 ",10.99%,2013,09
Brock,126.6,"$240,000 ",-0.24%,127.3,"$241,900 ",-0.16%,134.9,"$215,000 ",-0.07%,-,-,-,-,-,-,2013,09
Clarington,134.9,"$285,400 ",8.97%,131.4,"$315,800 ",8.86%,137.2,"$262,000 ",8.63%,147.8,"$264,600 ",3.79%,137.3,"$194,300 ",11.26%,2013,09
Oshawa,133.4,"$255,300 ",6.89%,133.1,"$283,400 ",7.43%,137.8,"$230,800 ",7.49%,113.9,"$152,400 ",2.15%,137.9,"$165,000 ",4.63%,2013,09
Pickering,145.8,"$394,400 ",7.44%,146.4,"$458,000 ",5.86%,149.1,"$347,500 ",6.88%,139.9,"$252,400 ",8.45%,139.7,"$273,500 ",14.23%,2013,09
