"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,147.6,"$455,500 7.35%",147.1,"$556,100 8.56%",151.5,"$433,700 8.45%",143.1,"$325,900 5.76%",144.6,"$305,900 4.25%"
Halton Region,153.7,"$506,700 6.51%",152.9,"$583,800 7.83%",153.6,"$392,700 6.08%",153.0,"$312,500 10.87%",-,- -
Burlington,158.8,"$437,200 10.43%",158.9,"$511,700 14.07%",153.5,"$366,900 6.82%",165.5,"$338,100 14.53%",-,- -
Halton Hills,144.1,"$430,000 3.45%",145.1,"$468,700 4.61%",150.7,"$370,500 6.96%",148.4,"$267,600 9.84%",-,- -
Milton,147.2,"$416,800 7.13%",141.2,"$496,600 6.01%",149.4,"$371,100 7.02%",-,- -,-,- -
Oakville,161.1,"$613,100 6.06%",160.9,"$684,200 8.79%",160.8,"$438,000 3.47%",151.1,"$332,200 9.73%",-,- -
Peel Region,141.7,"$393,500 6.46%",142.2,"$488,200 6.20%",144.2,"$372,500 6.89%",144.2,"$304,300 6.89%",129.4,"$229,900 3.77%"
Brampton,135.5,"$367,200 6.53%",135.5,"$416,100 6.27%",137.9,"$333,100 6.49%",129.0,"$237,500 4.62%",114.4,"$187,400 5.93%"
Caledon,140.1,"$498,900 5.58%",139.5,"$510,500 5.52%",148.7,"$369,100 9.26%",-,- -,-,- -
Mississauga,146.2,"$404,900 6.40%",150.4,"$568,100 6.29%",150.5,"$415,000 7.04%",148.6,"$323,600 7.37%",131.7,"$236,200 3.54%"
City of Toronto,152.9,"$492,400 6.70%",155.1,"$677,200 8.84%",160.6,"$536,800 8.66%",147.9,"$373,000 4.60%",148.1,"$323,200 4.08%"
"! TURN PAGE FOR CITY OF TORONTO",,,,,,,,,,
TABLES OR CLICK HERE:,,,,,,,,,,
York Region,155.1,"$533,800 11.42%",155.3,"$620,900 12.29%",157.5,"$457,300 11.94%",143.8,"$375,100 7.07%",147.5,"$312,700 7.59%"
Aurora,142.4,"$457,600 9.88%",141.6,"$531,400 14.10%",151.3,"$392,000 11.91%",130.0,"$360,500 8.15%",137.7,"$306,900 5.68%"
E. Gwillimbury,131.2,"$427,900 3.96%",130.8,"$430,500 2.75%",139.1,"$291,400 6.43%",-,- -,-,- -
Georgina,138.3,"$292,300 13.55%",142.8,"$302,900 15.44%",139.4,"$274,500 11.34%",-,- -,-,- -
King,145.2,"$604,300 5.29%",146.0,"$605,000 5.26%",-,- -,-,- -,-,- -
Markham,161.7,"$550,100 12.45%",163.8,"$671,800 13.91%",160.5,"$474,000 11.54%",151.9,"$391,500 11.12%",159.1,"$351,700 9.35%"
Newmarket,139.8,"$406,500 8.29%",135.5,"$449,900 5.45%",143.6,"$355,300 10.04%",144.1,"$293,200 11.71%",147.5,"$248,800 2.79%"
Richmond Hill,162.5,"$597,500 13.48%",170.3,"$734,100 15.69%",168.5,"$500,300 16.13%",129.8,"$371,400 -3.71%",144.4,"$278,300 6.88%"
Vaughan,153.4,"$549,900 10.52%",150.3,"$636,900 10.60%",155.4,"$479,500 10.45%",147.7,"$403,400 7.26%",137.6,"$308,600 6.17%"
Whitchurch-Stouffville,150.8,"$518,900 8.33%",149.6,"$534,800 12.57%",141.5,"$388,600 8.26%",-,- -,-,- -
Durham Region,126.4,"$307,200 5.51%",126.2,"$338,100 6.05%",129.7,"$267,500 6.14%",118.3,"$197,200 0.77%",116.8,"$209,800 -2.10%"
Ajax,132.3,"$343,300 6.01%",133.7,"$381,500 7.05%",139.3,"$302,700 6.42%",116.3,"$209,000 -7.26%",113.2,"$191,000 -4.07%"
Brock,122.9,"$242,200 2.25%",120.4,"$236,000 -1.23%",129.8,"$206,800 13.56%",-,- -,-,- -
Clarington,122.2,"$254,700 4.44%",119.6,"$288,100 4.64%",123.2,"$235,000 3.62%",138.4,"$203,200 8.98%",117.0,"$165,500 -1.76%"
Oshawa,120.4,"$243,200 5.71%",119.4,"$266,400 5.11%",124.5,"$208,800 7.79%",107.4,"$148,900 2.68%",128.8,"$153,200 -8.85%"
Pickering,130.9,"$359,900 6.25%",134.1,"$422,300 9.11%",135.7,"$317,400 7.61%",122.7,"$224,200 -3.23%",113.5,"$226,300 -0.96%"
Scugog,120.1,"$312,700 -3.77%",123.3,"$317,900 -2.84%",118.2,"$247,400 7.26%",-,- -,-,- -
Uxbridge,125.4,"$377,800 2.70%",127.1,"$387,900 0.79%",123.6,"$306,100 5.37%",-,- -,-,- -
Whitby,128.9,"$339,500 6.62%",128.1,"$373,200 8.19%",127.1,"$280,900 4.44%",125.6,"$229,000 8.46%",122.1,"$248,800 -0.41%"
Dufferin County,135.1,"$310,000 6.88%",143.2,"$326,600 7.51%",138.0,"$259,100 6.40%",-,- -,-,- -
Orangeville,135.1,"$310,000 6.88%",143.2,"$326,600 7.51%",138.0,"$259,100 6.40%",-,- -,-,- -
Simcoe County,130.3,"$282,900 5.93%",128.0,"$293,900 6.22%",134.8,"$253,800 5.39%",-,- -,-,- -
Adjala-Tosorontio,126.6,"$405,800 12.33%",126.1,"$408,500 12.39%",-,- -,-,- -,-,- -
Bradford West Gwillimbury,138.5,"$347,000 6.13%",127.0,"$390,100 8.18%",142.8,"$296,800 5.31%",-,- -,-,- -
Essa,130.8,"$278,300 6.95%",130.0,"$308,100 7.88%",133.2,"$226,900 4.80%",-,- -,-,- -
Innisfil,131.0,"$247,000 5.99%",131.3,"$249,100 5.89%",138.1,"$214,900 10.57%",-,- -,-,- -
New Tecumseth,121.9,"$283,300 4.73%",120.0,"$308,200 5.08%",125.9,"$241,300 3.37%",-,- -,-,- -
