"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark,Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,267.3,"$810,900",5.82%,"257.9 $952,200 4.12%",267.4,"$751,800 5.15%",273.8,"$604,500 6.54%",276.2,"$551,200",8.57%
Halton Region,281.5,"$907,700",9.49%,"277.8 $1,024,600 9.85%",284.3,"$727,300 8.10%",311.5,"$574,600 9.80%",269.1,"$497,700",6.11%
Burlington,290.7,"$789,700",13.91%,"284.8 $964,100 15.82%",301.7,"$723,800 11.66%",321.9,"$591,600 10.05%",269.9,"$444,300",6.81%
Halton Hills,262.5,"$776,900",7.67%,"258.2 $840,100 6.30%",271.0,"$614,000 9.10%",296.0,"$475,700 14.37%",257.4,"$520,500",6.94%
Milton,263.3,"$780,500",7.43%,"259.3 $927,900 7.59%",273.4,"$660,800 8.23%",278.0,"$460,300 8.05%",267.5,"$544,900",6.11%
Oakville,285.5,"$1,044,400",7.01%,"285.5 $1,206,800 7.94%",288.0,"$804,200 5.80%",301.4,"$652,200 7.03%",269.4,"$517,500",5.40%
Peel Region,262.7,"$744,900",7.36%,"254.2 $897,500 5.17%",261.7,"$669,900 6.56%",262.5,"$563,600 7.41%",277.8,"$476,300",14.94%
Brampton,262.7,"$666,100",7.01%,"255.7 $746,800 6.76%",264.7,"$620,800 7.69%",262.4,"$479,800 5.93%",265.6,"$396,500",13.26%
Caledon,225.8,"$829,200",2.87%,"227.3 $864,000 3.04%",252.9,"$624,800 4.37%",-,- -,229.3,"$557,400",-1.25%
Mississauga,265.9,"$787,300",8.05%,"257.5 $1,028,500 3.58%",257.7,"$710,700 4.93%",262.5,"$590,000 7.98%",279.9,"$491,700",15.19%
City of Toronto,276.7,"$897,200",6.06%,"260.9 $1,144,800 3.20%",278.9,"$929,700 4.57%",272.8,"$649,400 2.98%",283.7,"$582,700",8.24%
York Region,254.4,"$858,300",1.23%,"256.9 $977,600 0.71%",256.7,"$742,700 1.46%",238.7,"$613,000 0.80%",232.4,"$509,700",5.16%
Aurora,252.4,"$835,200",0.20%,"250.7 $947,000 -0.63%",254.6,"$656,600 0.04%",239.9,"$656,500 2.74%",247.1,"$516,600",5.42%
East Gwillimbury,220.7,"$754,100",0.59%,"225.1 $802,300 0.40%",227.9,"$476,700 0.44%",-,- -,-,-,-
Georgina,235.8,"$449,300",2.66%,"241.8 $455,900 2.68%",238.7,"$470,600 2.45%",-,- -,-,-,-
King,229.4,"$959,700",0.61%,"230.1 $957,200 0.31%",226.0,"$529,300 1.21%",-,- -,234.4,"$641,100",4.22%
Markham,262.0,"$906,700",1.12%,"279.6 $1,150,300 0.94%",266.7,"$797,600 2.18%",234.2,"$622,500 1.34%",225.8,"$540,500",4.44%
Newmarket,233.5,"$688,100",2.32%,"233.8 $788,100 1.96%",231.6,"$545,500 1.45%",226.3,"$469,900 1.07%",263.9,"$444,500",3.37%
