,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,285.2,"865,200",11.06%,273.9,"1,011,300",9.56%,285.7,"803,200",10.65%,290.2,"640,700",10.89%,296.8,"592,400",13.41%
City of Toronto,294.6,"955,200",10.59%,275.7,"1,209,800",7.99%,293.6,"978,700",8.42%,284.3,"676,800",6.68%,304.6,"625,600",12.86%
Toronto W01,271.0,"1,092,200",7.93%,258.7,"1,349,900",5.81%,275.5,"1,062,300",5.92%,274.9,"581,800",7.09%,274.3,"620,200",9.46%
Toronto W02,306.6,"1,091,100",8.68%,292.6,"1,237,700",8.98%,325.9,"998,900",6.02%,286.3,"674,600",3.13%,318.5,"683,700",13.75%
Toronto W03,312.9,"805,300",6.79%,316.4,"860,100",7.80%,307.3,"787,100",5.10%,272.5,"555,900",-0.95%,309.0,"528,000",10.83%
Toronto W04,286.5,"733,500",10.45%,274.7,"865,200",6.80%,266.3,"770,100",7.64%,248.9,"588,200",8.74%,307.5,"450,400",14.82%
Toronto W05,273.2,"648,500",9.50%,274.0,"908,700",10.04%,250.8,"732,300",9.86%,256.8,"466,300",2.72%,304.6,"400,200",12.77%
Toronto W06,246.3,"721,300",14.99%,301.9,"963,900",12.48%,256.2,"776,400",19.27%,306.3,"911,000",6.72%,215.7,"546,500",15.84%
Toronto W07,256.2,"1,098,300",11.44%,268.9,"1,165,400",10.07%,247.7,"1,015,700",17.01%,-,-,-,174.0,"705,600",14.02%
Toronto W08,249.2,"993,500",11.65%,231.2,"1,208,500",9.21%,238.0,"881,700",16.72%,274.3,"659,700",10.29%,260.8,"543,100",12.85%
Toronto W09,273.4,"688,200",12.79%,261.2,"974,100",13.86%,227.3,"653,600",9.59%,296.3,"770,900",7.04%,285.9,"366,600",13.68%
Toronto W10,294.0,"677,200",18.12%,283.9,"851,700",14.48%,291.2,"745,200",15.69%,249.7,"531,800",12.58%,310.9,"431,800",21.92%
Toronto C01,342.3,"845,800",13.01%,343.0,"1,299,000",10.32%,327.5,"1,146,400",11.28%,293.4,"837,000",4.01%,344.9,"718,000",13.64%
Toronto C02,286.5,"1,373,000",5.95%,250.2,"1,999,000",8.69%,282.1,"1,479,500",6.65%,283.0,"1,263,800",2.20%,292.4,"833,000",5.52%
Toronto C03,317.0,"1,655,700",6.27%,296.1,"1,819,700",6.36%,316.9,"1,175,100",5.28%,-,-,-,348.6,"911,900",6.41%
Toronto C04,258.1,"1,592,800",4.11%,257.1,"1,811,400",2.55%,263.9,"1,235,500",4.10%,-,-,-,253.4,"586,100",9.13%
Toronto C06,304.5,"1,185,800",9.02%,273.6,"1,168,600",6.83%,233.6,"864,200",11.82%,254.1,"681,500",5.88%,333.4,"737,300",9.74%
Toronto C07,282.0,"975,600",10.24%,298.7,"1,366,400",5.03%,210.6,"753,600",3.64%,255.1,"719,000",7.41%,278.2,"679,400",13.60%
Toronto C08,311.7,"815,100",11.60%,301.3,"1,757,900",4.04%,290.8,"1,387,200",1.64%,304.6,"787,700",5.65%,313.2,"677,000",12.50%
Toronto C09,197.4,"1,397,300",8.11%,146.0,"1,834,000",8.31%,158.6,"1,290,600",4.89%,302.8,"1,658,400",-0.59%,224.7,"744,400",10.15%
Toronto C10,307.3,"1,199,700",8.66%,277.7,"1,714,500",1.13%,267.8,"1,323,000",1.75%,284.1,"829,200",1.00%,323.1,"771,600",12.03%
Toronto C11,290.9,"1,029,400",9.03%,219.7,"1,496,600",8.60%,252.8,"1,119,400",8.31%,235.8,"408,500",3.42%,344.7,"500,500",8.98%
Toronto C12,228.9,"1,952,900",3.62%,207.6,"2,225,000",1.32%,274.3,"1,148,200",4.26%,206.6,"826,600",4.50%,289.1,"906,400",3.47%
Toronto C13,265.8,"962,400",6.70%,252.6,"1,347,100",-0.94%,227.5,"725,900",-0.70%,250.2,"723,300",8.31%,280.8,"565,400",14.05%
Toronto C14,296.6,"969,800",10.01%,270.2,"1,461,700",1.58%,216.5,"1,054,200",0.09%,324.5,"873,900",8.02%,299.4,"754,000",11.84%
Toronto C15,268.6,"871,700",10.58%,291.2,"1,367,300",5.89%,239.8,"779,600",6.01%,283.8,"679,300",1.76%,261.6,"608,300",15.55%
Toronto E01,373.9,"1,167,700",8.82%,357.9,"1,262,900",7.70%,371.4,"1,171,600",8.34%,430.5,"787,400",9.68%,375.5,"890,700",11.96%
Toronto E02,308.7,"1,156,000",6.08%,267.9,"1,220,600",5.31%,327.1,"1,095,400",6.10%,344.3,"991,700",6.69%,283.6,"775,400",7.22%
Toronto E03,286.3,"880,700",5.49%,291.1,"981,400",4.52%,273.5,"895,600",4.95%,-,-,-,282.3,"412,400",11.76%
Toronto E04,300.3,"741,700",13.45%,282.8,"833,800",14.63%,299.8,"722,400",20.30%,274.8,"595,700",7.39%,337.8,"518,300",11.01%
