,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,273.0,"828,200",8.72%,262.9,"970,700",7.39%,273.1,"767,800",7.73%,280.4,"619,000",8.81%,282.6,"564,000",11.26%
Halton Region,286.9,"925,100",11.12%,283.3,"1,044,900",10.28%,291.4,"745,500",8.25%,317.8,"586,200",12.90%,270.4,"500,100",16.50%
Burlington,299.2,"812,800",15.66%,295.0,"998,700",15.41%,314.9,"755,500",13.11%,328.3,"603,400",13.32%,271.7,"447,200",16.76%
Halton Hills,269.2,"796,700",7.29%,264.7,"861,200",5.84%,277.6,"629,000",7.72%,302.8,"486,600",14.09%,260.0,"525,700",17.22%
Milton,269.2,"798,000",5.73%,265.2,"949,100",5.11%,280.1,"677,000",5.86%,284.4,"470,900",13.71%,267.3,"544,400",15.92%
Oakville,287.7,"1,052,400",10.27%,287.1,"1,213,600",9.83%,292.7,"817,300",8.29%,307.7,"665,800",11.69%,270.5,"519,600",16.49%
Peel Region,270.7,"767,500",10.35%,261.0,"921,500",9.02%,270.0,"691,200",9.62%,268.2,"575,800",10.87%,289.6,"496,500",14.65%
Brampton,270.1,"684,900",9.18%,262.9,"767,900",8.77%,273.4,"641,200",9.58%,267.4,"488,900",9.86%,267.2,"398,800",11.15%
Caledon,226.0,"829,900",5.85%,225.8,"858,300",5.86%,261.1,"645,000",6.57%,-,-,-,232.7,"565,700",3.88%
Mississauga,274.9,"813,900",11.66%,265.1,"1,058,800",9.86%,265.4,"731,900",9.90%,268.4,"603,300",11.18%,293.4,"515,400",15.19%
City of Toronto,281.8,"913,700",8.76%,265.1,"1,163,300",6.81%,281.6,"938,700",6.99%,278.0,"661,800",4.71%,289.7,"595,000",10.61%
York Region,259.2,"874,500",5.24%,261.0,"993,200",4.99%,261.2,"755,700",5.11%,246.1,"632,000",4.72%,238.7,"523,500",8.25%
Aurora,259.9,"860,000",5.22%,256.8,"970,000",4.60%,264.5,"682,100",7.04%,252.3,"690,500",7.87%,253.4,"529,700",3.26%
East Gwillimbury,227.4,"777,000",4.79%,231.3,"824,400",4.80%,236.5,"494,700",4.60%,-,-,-,-,-,-
Georgina,242.9,"462,800",8.00%,249.2,"469,900",8.11%,243.2,"479,500",6.25%,-,-,-,-,-,-
King,224.2,"938,000",0.99%,224.8,"935,200",0.76%,221.0,"517,600",-0.18%,-,-,-,236.7,"647,400",8.48%
Markham,266.0,"920,500",3.87%,281.3,"1,157,300",3.23%,268.6,"803,300",3.83%,243.3,"646,700",7.04%,232.9,"557,500",8.07%
Newmarket,237.4,"699,600",5.09%,236.8,"798,200",4.69%,234.7,"552,800",3.94%,237.3,"492,700",5.19%,276.1,"465,100",5.74%
Richmond Hill,273.0,"980,000",3.21%,288.4,"1,225,600",2.96%,268.1,"814,800",3.63%,236.0,"598,300",-0.80%,244.6,"497,800",8.66%
Vaughan,259.5,"938,300",9.17%,252.2,"1,048,400",10.28%,266.4,"807,000",8.60%,265.2,"721,100",1.18%,236.2,"545,000",8.55%
Whitchurch-Stouffville,262.6,"904,900",4.04%,260.0,"932,700",4.33%,233.9,"642,500",3.45%,229.8,"412,500",9.85%,257.1,"571,300",3.96%
Durham Region,249.6,"583,000",6.80%,243.1,"631,700",6.25%,257.5,"514,300",6.98%,264.5,"419,500",7.00%,254.8,"432,400",12.89%
Ajax,251.5,"618,800",6.66%,249.2,"668,500",6.09%,257.8,"556,300",7.33%,244.2,"446,400",6.64%,245.9,"398,600",13.95%
