"",,Composite,Single Family Detached,Single Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,299.6,"909,500 11.05%","298.3 1,102,100 15.00%","308.4 866,400 14.18%",311.6,"684,600 13.19%",286.6,"574,400",2.36%
Halton Region,324.0,"1,050,800 15.59%","330.6 1,219,400 17.95%","343.2 878,000 18.02%",341.7,"657,100 16.22%",278.8,"568,000",8.65%
Burlington,336.0,"931,800 14.79%","348.2 1,178,800 18.40%","366.6 879,500 14.13%",351.1,"658,400 15.84%",285.5,"562,500",8.18%
Milton,314.5,"931,800",17.26%,316.3,"1,131,000",19.77%,335.5,"810,800",19.95%,320.7,"552,000",18.73%,291.4,"557,800",8.37%
Peel Region,299.7,"850,000",12.00%,292.7,"1,036,600",13.98%,306.1,"782,200",15.25%,303.8,"641,800",12.64%,301.8,"517,500",5.23%
Caledon,266.6,"979,000",18.23%,269.1,"1,022,900",18.91%,298.0,"736,200",16.18%,-,-,-,247.3,"601,200",6.64%
City of Toronto,293.7,"952,400",4.78%,289.7,"1,271,200",9.82%,303.9,"1,012,900",8.30%,306.9,"731,300",10.40%,289.9,"597,100",0.76%
York Region,289.5,"978,700",12.56%,295.2,"1,124,200",13.89%,296.3,"856,200",13.66%,270.4,"701,800",10.28%,253.2,"564,900",6.84%
Aurora,291.3,"961,300",14.24%,292.9,"1,100,500",15.59%,302.3,"779,600",14.64%,275.1,"752,900",11.83%,246.9,"566,200",9.64%
Georgina,289.9,"551,800",21.04%,296.7,"558,800",20.90%,298.0,"587,400",23.40%,-,-,-,-,-,-
Markham,294.2,"1,022,400",10.23%,314.7,"1,298,100",11.75%,300.5,"896,200",11.75%,261.8,"699,000",9.08%,251.8,"602,200",5.14%
Richmond Hill,301.4,"1,084,600",11.75%,321.4,"1,365,900",11.99%,304.1,"924,200",14.24%,261.8,"663,700",9.40%,258.0,"540,300",8.68%
Whitchurch-Stouffville,300.4,"1,047,000",14.61%,302.2,"1,114,700",15.17%,303.7,"757,800",15.04%,250.9,"450,400",11.26%,243.4,"628,200",10.04%
Durham Region,301.7,"703,600",21.65%,293.1,"761,200",21.62%,315.8,"630,600",24.58%,336.1,"522,900",21.69%,283.2,"480,600",12.43%
Ajax,299.7,"738,500",19.50%,295.9,"793,800",19.56%,308.6,"665,900",21.31%,315.1,"579,100",19.27%,271.6,"440,300",11.86%
Clarington,303.6,"641,000",27.24%,292.8,"705,200",26.97%,310.8,"593,700",33.05%,337.4,"528,600",18.72%,261.2,"386,800",14.41%
Pickering,298.7,"797,600",17.92%,285.6,"889,700",18.31%,307.7,"718,000",19.54%,325.0,"556,500",18.92%,321.9,"600,500",12.08%
Uxbridge,271.8,"853,100",17.92%,275.7,"883,600",17.92%,286.3,"697,000",19.04%,-,-,-,-,-,-
Dufferin County,320.5,"734,600",19.72%,335.0,"763,500",20.11%,321.3,"602,100",23.29%,-,-,-,-,-,-
Simcoe County,315.1,"690,300",24.45%,296.0,"667,200",22.87%,312.5,"579,100",19.27%,-,-,-,-,-,-
Bradford West Gwillimbury,318.0,"774,900",21.93%,296.2,"810,200",25.61%,334.1,"694,300",24.39%,-,-,-,-,-,-
Innisfil,326.2,"629,100",26.43%,299.9,"577,500",12.66%,332.4,"508,200",28.29%,-,-,-,-,-,-
New Tecumseth,283.8,"674,400",20.51%,280.0,"710,200",22.48%,312.0,"565,600",24.60%,-,-,-,-,-,-
